Player,Tm,Pos,Status,Injury Comment,Practice Status
Mack Hollins,ATL,WR,Out,Ankle,Did Not Participate In Practice
Calais Campbell,ATL,DL,,NIR - Rest,Did Not Participate In Practice
DeAundre Alford,ATL,CB,,Ankle,Full Participation In Practice
David Onyemata,ATL,DL,,Ankle,Full Participation In Practice
Younghoe Koo,ATL,K,,Back,Full Participation In Practice
Taylor Heinicke,ATL,QB,Questionable,Hamstring,Limited Participation In Practice
Dane Jackson,BUF,CB,,Concussion,Did Not Participate In Practice
Josh Allen,BUF,QB,,Shoulder,Full Participation In Practice
Dorian Williams,BUF,LB,,Knee,Full Participation In Practice
Trent Sherfield,BUF,WR,,Ankle,Full Participation In Practice
Micah Hyde,BUF,S,,Neck,Limited Participation In Practice
Taron Johnson,BUF,CB,,Concussion,Limited Participation In Practice
Cameron Lewis,BUF,CB,,Shoulder,Limited Participation In Practice
Taylor Rapp,BUF,S,,Neck,Limited Participation In Practice
Hayden Hurst,CAR,TE,Out,Concussion,Did Not Participate In Practice
Adam Thielen,CAR,WR,,Rest,Did Not Participate In Practice
C.J. Henderson,CAR,CB,Doubtful,Concussion,Full Participation In Practice
Bryce Young,CAR,QB,,Thigh,Full Participation In Practice
Taylor Moton,CAR,T,,Knee,Full Participation In Practice
Sam Franklin,CAR,S,Questionable,Quadriceps,Limited Participation In Practice
Jaycee Horn,CAR,CB,Doubtful,Hamstring,Limited Participation In Practice
Jeremy Chinn,CAR,S,Out,Quadriceps,Limited Participation In Practice
Frankie Luvu,CAR,LB,Questionable,Shoulder,Limited Participation In Practice
Marquis Haynes,CAR,OLB,Questionable,Back,Limited Participation In Practice
Yetur Gross-Matos,CAR,OLB,Out,Hamstring,Limited Participation In Practice
Noah Sewell,CHI,LB,,Knee,Did Not Participate In Practice
D'Onta Foreman,CHI,RB,,Ankle,Did Not Participate In Practice
Lucas Patrick,CHI,OL,,Back,Did Not Participate In Practice
Larry Borom,CHI,OL,,Illness,Did Not Participate In Practice
Khari Blasingame,CHI,FB,,Shoulder,Full Participation In Practice
Tee Higgins,CIN,WR,Out,Hamstring,Did Not Participate In Practice
Joe Burrow,CIN,QB,Out,Wrist,Did Not Participate In Practice
Germaine Pratt,CIN,LB,Questionable,Illness,Did Not Participate In Practice
Cam Taylor-Britt,CIN,CB,Out,Quad,Did Not Participate In Practice
D'Ante Smith,CIN,T,Doubtful,Knee,Did Not Participate In Practice
D.J. Reader,CIN,DT,,Illness,Full Participation In Practice
Jonah Williams,CIN,T,,Shoulder,Full Participation In Practice
Akeem Davis-Gaither,CIN,LB,,Knee,Full Participation In Practice
Cameron Sample,CIN,DE,,Knee,Full Participation In Practice
B.J. Hill,CIN,DT,,Knee,Full Participation In Practice
Trenton Irwin,CIN,WR,,Hip,Full Participation In Practice
Sam Hubbard,CIN,DE,,Ankle,Full Participation In Practice
Andrei Iosivas,CIN,WR,,Knee,Full Participation In Practice
Chase Brown,CIN,RB,Questionable,Hamstring,Full Participation In Practice
Anthony Walker,CLE,LB,,Hamstring,Did Not Participate In Practice
Za'Darius Smith,CLE,DE,,NIR - Rest,Did Not Participate In Practice
